Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AsiExtraFieldTest.java",1,1,1,1,16,0,12,5,,,,1,0,0,8,,8,8,2,8,,0,0,0,8,,189,22,126,53,86,65,,,,76,87,30,57,,,,,,3,3,3,1,,,1,,,0.52,10,10,10,8
Public Class,"AssertionMain",1,1,1,1,4,0,4,0,1,3,0,,1,0,,,,0,0,1,13,0,0,0,1,,12,2,6,2,2,4,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.67,1,1,1,1
File,"AssertionMain.java",1,1,1,1,4,0,4,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,31,4,6,2,2,21,,,,2,4,2,2,,,,,,1,1,1,1,,,0,,,3.50,1,1,1,1
Public Static Method,"AssertionMain.main",,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"AssertionTest",1,1,1,1,4,0,4,0,1,2,0,,0,0,,,,3,0,3,15,0,0,0,3,,25,6,15,4,6,4,,,,4,9,4,5,,,,,,2,2,2,1,,2,1,,0,0.27,4,4,4,3
Public Constructor,"AssertionTest.AssertionTest",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
File,"AssertionTest.java",1,1,1,1,4,0,4,0,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,45,8,16,5,6,21,,,,5,10,5,5,,,,,,2,2,2,1,,,1,,,1.31,4,4,4,3
Public Method,"AssertionTest.testAssertNotRaised",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,0,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"AssertionTest.testAssertRaised",,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,7,1,4,1,1,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,0.14,2,2,2,1
File,"Assertions.java",1,1,2,1,12,0,6,5,,,,4,1,0,19,,20,19,4,20,,0,3,2,15,,360,35,146,48,74,179,,,,69,111,48,63,,,,,,5,5,6,1,,,2,,,1.23,36,36,38,19
